iter,t_granted,state,P_total,Q_total,updated,n_feeders,Vmag,Vang_rad
83,0.35,NEXT_STEP,1.0269,0.1782,0,10,0.947199,-0.016122
84,0.36,NEXT_STEP,1.0269,0.1782,0,10,0.947199,-0.016122
85,0.37,NEXT_STEP,1.0269,0.1782,0,10,0.947199,-0.016122
86,0.38,NEXT_STEP,1.0269,0.1782,0,10,0.947199,-0.016122
87,0.39,NEXT_STEP,1.0269,0.1782,0,10,0.947199,-0.016122
88,0.4,NEXT_STEP,1.0269,0.1782,0,10,0.947199,-0.016122
89,0.41,NEXT_STEP,1.0269,0.1782,0,10,0.947199,-0.016122
90,0.42,NEXT_STEP,1.0269,0.1782,0,10,0.947199,-0.016122
91,0.43,NEXT_STEP,1.0269,0.1782,0,10,0.947199,-0.016122
92,0.44,NEXT_STEP,1.0269,0.1782,0,10,0.947199,-0.016122
93,0.45,NEXT_STEP,1.0269,0.1782,0,10,0.947199,-0.016122
94,0.46,NEXT_STEP,1.0269,0.1782,0,10,0.947199,-0.016122
95,0.47,NEXT_STEP,1.0269,0.1782,0,10,0.947199,-0.016122
96,0.48,NEXT_STEP,1.0269,0.1782,0,10,0.947199,-0.016122
97,0.49,NEXT_STEP,1.0269,0.1782,0,10,0.947199,-0.016122
98,0.5,NEXT_STEP,1.0269,0.1782,0,10,0.947199,-0.016122
99,0.51,NEXT_STEP,1.0269,0.1782,0,10,0.947199,-0.016122
100,0.52,NEXT_STEP,1.0269,0.1782,0,10,0.947199,-0.016122
101,0.53,NEXT_STEP,1.0269,0.1782,0,10,0.947199,-0.016122
102,0.54,NEXT_STEP,1.0269,0.1782,0,10,0.947199,-0.016122
103,0.55,NEXT_STEP,1.0269,0.1782,0,10,0.947199,-0.016122
104,0.56,NEXT_STEP,1.0269,0.1782,0,10,0.947199,-0.016122
105,0.57,NEXT_STEP,1.0269,0.1782,0,10,0.947199,-0.016122
106,0.58,NEXT_STEP,1.0269,0.1782,0,10,0.947199,-0.016122
107,0.59,NEXT_STEP,1.0269,0.1782,0,10,0.947199,-0.016122
108,0.6,NEXT_STEP,1.0269,0.1782,0,10,0.947199,-0.016122
109,0.61,NEXT_STEP,1.0269,0.1782,0,10,0.947199,-0.016122
110,0.62,NEXT_STEP,1.0269,0.1782,0,10,0.947199,-0.016122
111,0.63,NEXT_STEP,1.0269,0.1782,0,10,0.947199,-0.016122
112,0.64,NEXT_STEP,1.0269,0.1782,0,10,0.947199,-0.016122
113,0.65,NEXT_STEP,1.0269,0.1782,0,10,0.947199,-0.016122
114,0.66,NEXT_STEP,1.0269,0.1782,0,10,0.947199,-0.016122
115,0.67,NEXT_STEP,1.0269,0.1782,0,10,0.947199,-0.016122
116,0.68,NEXT_STEP,1.0269,0.1782,0,10,0.947199,-0.016122
117,0.69,NEXT_STEP,1.0269,0.1782,0,10,0.947199,-0.016122
118,0.7,NEXT_STEP,1.0269,0.1782,0,10,0.947199,-0.016122
119,0.71,NEXT_STEP,1.0269,0.1782,0,10,0.947199,-0.016122
120,0.72,NEXT_STEP,1.0269,0.1782,0,10,0.947199,-0.016122
121,0.73,NEXT_STEP,1.0269,0.1782,0,10,0.947199,-0.016122
122,0.74,NEXT_STEP,1.0269,0.1782,0,10,0.947199,-0.016122
123,0.75,NEXT_STEP,1.0269,0.1782,0,10,0.947199,-0.016122
124,0.76,NEXT_STEP,1.0269,0.1782,0,10,0.947199,-0.016122
125,0.77,NEXT_STEP,1.0269,0.1782,0,10,0.947199,-0.016122
126,0.78,NEXT_STEP,1.0269,0.1782,0,10,0.947199,-0.016122
127,0.79,NEXT_STEP,1.0269,0.1782,0,10,0.947199,-0.016122
128,0.8,NEXT_STEP,1.0269,0.1782,0,10,0.947199,-0.016122
129,0.81,NEXT_STEP,1.0269,0.1782,0,10,0.947199,-0.016122
130,0.82,NEXT_STEP,1.0269,0.1782,0,10,0.947199,-0.016122
131,0.83,NEXT_STEP,1.0269,0.1782,0,10,0.947199,-0.016122
132,0.84,NEXT_STEP,1.0269,0.1782,0,10,0.947199,-0.016122
133,0.85,NEXT_STEP,1.0269,0.1782,0,10,0.947199,-0.016122
134,0.86,NEXT_STEP,1.0269,0.1782,0,10,0.947199,-0.016122
135,0.87,NEXT_STEP,1.0269,0.1782,0,10,0.947199,-0.016122
136,0.88,NEXT_STEP,1.0269,0.1782,0,10,0.947199,-0.016122
137,0.89,NEXT_STEP,1.0269,0.1782,0,10,0.947199,-0.016122
