iter,outer_iter,t_granted,cosim_dt,tx_tds_step,state,updated,P_total,Q_total,Vmag,Vang_rad,fault_idx,fault_bus,fault_active,fault_rf,fault_xf,fault_bus_vmag,fault_bus_vang_rad,event_line_idx,event_bus1,event_bus2,event_line_status,event_bus1_vmag,event_bus1_vang_rad,event_bus2_vmag,event_bus2_vang_rad,event_bus_angle_diff_deg,postfault_line_idx,postfault_bus1,postfault_bus2,postfault_line_status,delta_min_deg,delta_max_deg,delta_spread_deg,delta_min_idx,delta_min_bus,delta_max_idx,delta_max_bus,omega_min_pu,omega_max_pu,omega_max_dev,omega_min_idx,omega_min_bus,omega_max_idx,omega_max_bus,vf_min_pu,vf_max_pu,vf_min_idx,vf_min_bus,vf_max_idx,vf_max_bus
15,1,0.036000000000000004,0.003,0.03,NEXT_STEP,0,0.03580204209797735,0.017264708087828713,1.0086801768529765,-0.177373492687841,Fault_Interface,14,0.0,0.0,0.3,1.0086801768529765,-0.177373492687841,,,,,,,,,,,,,,10.9483158153533,63.35127118727221,52.40295537191891,GENROU_4,6,GENROU_1,1,1.0,1.0,0.0,GENROU_1,1,GENROU_1,1,1.485432209970311,1.9941158988359406,GENROU_5,8,GENROU_2,2
17,2,0.039,0.003,0.03,NEXT_STEP,0,0.03580204209725938,0.017264708087379052,1.008680176102427,-0.17737349336373612,Fault_Interface,14,0.0,0.0,0.3,1.008680176102427,-0.17737349336373612,,,,,,,,,,,,,,10.9483158153533,63.35127118727221,52.40295537191891,GENROU_4,6,GENROU_1,1,1.0,1.0,0.0,GENROU_1,1,GENROU_1,1,1.4854322152690091,1.9941159260915624,GENROU_5,8,GENROU_2,2
19,2,0.042,0.003,0.03,NEXT_STEP,1,0.035802042097995396,0.017264708087843424,1.0086801753817893,-0.17737349401115207,Fault_Interface,14,0.0,0.0,0.3,1.0086801753817893,-0.17737349401115207,,,,,,,,,,,,,,10.9483158153533,63.35127118727221,52.40295537191891,GENROU_4,6,GENROU_1,1,1.0,1.0,0.0,GENROU_1,1,GENROU_1,1,1.4854322202946117,1.9941159553220593,GENROU_5,8,GENROU_2,2
21,2,0.045000000000000005,0.003,0.03,NEXT_STEP,0,0.035802042098010634,0.017264708087835742,1.0086801746912335,-0.17737349463102203,Fault_Interface,14,0.0,0.0,0.3,1.0086801746912335,-0.17737349463102203,,,,,,,,,,,,,,10.9483158153533,63.35127118727221,52.40295537191891,GENROU_4,6,GENROU_1,1,1.0,1.0,0.0,GENROU_1,1,GENROU_1,1,1.485432225052554,1.9941159860695215,GENROU_5,8,GENROU_2,2
22,1,0.048,0.003,0.03,NEXT_STEP,0,0.035802042098010634,0.017264708087835742,1.0086801740304163,-0.17737349522792797,Fault_Interface,14,0.0,0.0,0.3,1.0086801740304163,-0.17737349522792797,,,,,,,,,,,,,,10.9483158153533,63.35127118727221,52.40295537191891,GENROU_4,6,GENROU_1,1,1.0,1.0,0.0,GENROU_1,1,GENROU_1,1,1.4854322295344369,1.9941160178950197,GENROU_5,8,GENROU_2,2
23,1,0.051000000000000004,0.003,0.03,NEXT_STEP,0,0.035802042098010634,0.017264708087835742,1.0086801733995345,-0.17737349580621523,Fault_Interface,14,0.0,0.0,0.3,1.0086801733995345,-0.17737349580621523,,,,,,,,,,,,,,10.9483158153533,63.35127118727221,52.40295537191891,GENROU_4,6,GENROU_1,1,1.0,1.0,0.0,GENROU_1,1,GENROU_1,1,1.485432233772655,1.9941160503919149,GENROU_5,8,GENROU_2,2
24,1,0.054000000000000006,0.003,0.03,NEXT_STEP,0,0.035802042098010634,0.017264708087835742,1.008680172795391,-0.17737349636288294,Fault_Interface,14,0.0,0.0,0.3,1.008680172795391,-0.17737349636288294,,,,,,,,,,,,,,10.9483158153533,63.35127118727221,52.40295537191891,GENROU_4,6,GENROU_1,1,1.0,1.0,0.0,GENROU_1,1,GENROU_1,1,1.4854322377701663,1.9941160831941849,GENROU_5,8,GENROU_2,2
25,1,0.057,0.003,0.03,NEXT_STEP,0,0.035802042098010634,0.017264708087835742,1.008680172223696,-0.17737349689538154,Fault_Interface,14,0.0,0.0,0.3,1.008680172223696,-0.17737349689538154,,,,,,,,,,,,,,10.9483158153533,63.35127118727221,52.40295537191891,GENROU_4,6,GENROU_1,1,1.0,1.0,0.0,GENROU_1,1,GENROU_1,1,1.4854322415482009,1.994116115980728,GENROU_5,8,GENROU_2,2
26,1,0.060000000000000005,0.003,0.03,NEXT_STEP,0,0.035802042098010634,0.017264708087835742,1.0086801716777676,-0.1773734974074083,Fault_Interface,14,0.0,0.0,0.3,1.0086801716777676,-0.1773734974074083,,,,,,,,,,,,,,10.9483158153533,63.35127118727221,52.40295537191891,GENROU_4,6,GENROU_1,1,1.0,1.0,0.0,GENROU_1,1,GENROU_1,1,1.4854322451162256,1.9941161484768437,GENROU_5,8,GENROU_2,2
27,1,0.063,0.003,0.03,NEXT_STEP,0,0.035802042098010634,0.017264708087835742,1.0086801711572486,-0.1773734978999052,Fault_Interface,14,0.0,0.0,0.3,1.0086801711572486,-0.1773734978999052,,,,,,,,,,,,,,10.9483158153533,63.35127118727221,52.40295537191891,GENROU_4,6,GENROU_1,1,1.0,1.0,0.0,GENROU_1,1,GENROU_1,1,1.4854322484776266,1.9941161804530156,GENROU_5,8,GENROU_2,2
28,1,0.066,0.003,0.03,NEXT_STEP,0,0.035802042098010634,0.017264708087835742,1.0086801706614412,-0.17737349837412023,Fault_Interface,14,0.0,0.0,0.3,1.0086801706614412,-0.17737349837412023,,,,,,,,,,,,,,10.9483158153533,63.35127118727221,52.40295537191891,GENROU_4,6,GENROU_1,1,1.0,1.0,0.0,GENROU_1,1,GENROU_1,1,1.485432251657797,1.9941162117226958,GENROU_5,8,GENROU_2,2
29,1,0.069,0.003,0.03,NEXT_STEP,0,0.035802042098010634,0.017264708087835742,1.0086801701889216,-0.17737349883051357,Fault_Interface,14,0.0,0.0,0.3,1.0086801701889216,-0.17737349883051357,,,,,,,,,,,,,,10.9483158153533,63.35127118727221,52.40295537191891,GENROU_4,6,GENROU_1,1,1.0,1.0,0.0,GENROU_1,1,GENROU_1,1,1.485432254664037,1.9941162421385852,GENROU_5,8,GENROU_2,2
30,1,0.07200000000000001,0.003,0.03,NEXT_STEP,0,0.035802042098010634,0.017264708087835742,1.0086801697391834,-0.17737349926984577,Fault_Interface,14,0.0,0.0,0.3,1.0086801697391834,-0.17737349926984577,,,,,,,,,,,,,,10.9483158153533,63.35127118727221,52.40295537191891,GENROU_4,6,GENROU_1,1,1.0,1.0,0.0,GENROU_1,1,GENROU_1,1,1.4854322575067396,1.9941162715888197,GENROU_5,8,GENROU_2,2
31,1,0.07500000000000001,0.003,0.03,NEXT_STEP,0,0.035802042098010634,0.017264708087835742,1.008680169311449,-0.1773734996928831,Fault_Interface,14,0.0,0.0,0.3,1.008680169311449,-0.1773734996928831,,,,,,,,,,,,,,10.9483158153533,63.35127118727221,52.40295537191891,GENROU_4,6,GENROU_1,1,1.0,1.0,0.0,GENROU_1,1,GENROU_1,1,1.485432260196976,1.9941162999927382,GENROU_5,8,GENROU_2,2
32,1,0.078,0.003,0.03,NEXT_STEP,0,0.035802042098010634,0.017264708087835742,1.0086801689049394,-0.17737350010025704,Fault_Interface,14,0.0,0.0,0.3,1.0086801689049394,-0.17737350010025704,,,,,,,,,,,,,,10.9483158153533,63.35127118727221,52.40295537191891,GENROU_4,6,GENROU_1,1,1.0,1.0,0.0,GENROU_1,1,GENROU_1,1,1.485432262744893,1.9941163272967066,GENROU_5,8,GENROU_2,2
