alert_id,alert_name,criterion,threshold_pu,window_s,triggered,reference_voltage_pu,trigger_time_s,trigger_voltage_pu,trigger_voltage_norm_pu,start_time_s,end_time_s,duration_s,details
Alert.1,Fault Alert,Voltage dip >= 0.20 pu within 3.0 cycles,0.2,0.05,True,1.003331,1.005,0.435433,0.43398738801053693,1.002,1.005,0.0029999999999998916,normalized drop=0.567 pu from 1.001 pu over 0.003 s (ref=1.003 pu)
Alert.2,Air Conditioner Stall Alert,Voltage <= 0.90 pu for >= 5.0 s,0.9,5.0,True,1.003331,6.005,0.875016,0.87211099826478,1.005,6.009,5.0040000000000004,normalized voltage stayed below 0.90 pu for 5.004 s (ref=1.003 pu)
Alert.3,Overvoltage Alert,Voltage >= 1.05 pu for >= 1.0 s within 30 s of Alert.2,1.05,1.0,False,,,,,,,,
