alert_id,alert_name,criterion,threshold_pu,window_s,triggered,reference_voltage_pu,trigger_time_s,trigger_voltage_pu,trigger_voltage_norm_pu,start_time_s,end_time_s,duration_s,details
Alert.1,Fault Alert,Voltage dip >= 0.20 pu within 3.0 cycles,0.2,0.05,True,0.8262928098494728,1.05,0.48081651136323467,0.5818960368913604,1.02,1.05,0.030000000000000027,normalized drop=0.328 pu from 0.910 pu over 0.030 s (ref=0.826 pu)
Alert.2,Air Conditioner Stall Alert,Voltage <= 0.90 pu for >= 5.0 s,0.9,5.0,True,0.8262928098494728,6.05,0.609953903451155,0.738181303504591,1.05,6.06,5.01,normalized voltage stayed below 0.90 pu for 5.010 s (ref=0.826 pu)
Alert.3,Overvoltage Alert,Voltage >= 1.05 pu for >= 1.0 s within 120 s of Alert.2,1.05,1.0,False,,,,,,,,
