iter,outer_iter,t_granted,cosim_dt,tx_tds_step,state,updated,P_total,Q_total,Vmag,Vang_rad,fault_idx,fault_bus,fault_active,fault_rf,fault_xf,fault_bus_vmag,fault_bus_vang_rad,event_line_idx,event_bus1,event_bus2,event_line_status,event_bus1_vmag,event_bus1_vang_rad,event_bus2_vmag,event_bus2_vang_rad,event_bus_angle_diff_deg,postfault_line_idx,postfault_bus1,postfault_bus2,postfault_line_status,delta_min_deg,delta_max_deg,delta_spread_deg,delta_min_idx,delta_min_bus,delta_max_idx,delta_max_bus,omega_min_pu,omega_max_pu,omega_max_dev,omega_min_idx,omega_min_bus,omega_max_idx,omega_max_bus,vf_min_pu,vf_max_pu,vf_min_idx,vf_min_bus,vf_max_idx,vf_max_bus
16,1,0.036000000000000004,0.003,0.03,NEXT_STEP,0,0.03584632230644732,0.017286991464172615,1.0086703786446298,-0.1773882410638051,Fault_Interface,14,0.0,0.0,0.3,1.0086703786446298,-0.1773882410638051,,,,,,,,,,,,,,10.947320231857903,63.35299760041254,52.40567736855464,GENROU_4,6,GENROU_1,1,1.0,1.0,0.0,GENROU_1,1,GENROU_1,1,1.4854503114871644,1.9941453212005011,GENROU_5,8,GENROU_2,2
18,2,0.039,0.003,0.03,NEXT_STEP,0,0.035846322305516674,0.017286991463599303,1.0086703775710322,-0.17738824209079868,Fault_Interface,14,0.0,0.0,0.3,1.0086703775710322,-0.17738824209079868,,,,,,,,,,,,,,10.947320231857903,63.35299760041254,52.40567736855464,GENROU_4,6,GENROU_1,1,1.0,1.0,0.0,GENROU_1,1,GENROU_1,1,1.485450319138616,1.994145360299197,GENROU_5,8,GENROU_2,2
20,2,0.042,0.003,0.03,NEXT_STEP,1,0.03584632230643736,0.01728699146414663,1.008670376541001,-0.17738824307571516,Fault_Interface,14,0.0,0.0,0.3,1.008670376541001,-0.17738824307571516,,,,,,,,,,,,,,10.947320231857903,63.35299760041254,52.40567736855464,GENROU_4,6,GENROU_1,1,1.0,1.0,0.0,GENROU_1,1,GENROU_1,1,1.4854503263978562,1.9941454022606644,GENROU_5,8,GENROU_2,2
22,2,0.045000000000000005,0.003,0.03,NEXT_STEP,0,0.03584632230645051,0.01728699146415169,1.0086703755539148,-0.1773882440200768,Fault_Interface,14,0.0,0.0,0.3,1.0086703755539148,-0.1773882440200768,,,,,,,,,,,,,,10.947320231857903,63.35299760041254,52.40567736855464,GENROU_4,6,GENROU_1,1,1.0,1.0,0.0,GENROU_1,1,GENROU_1,1,1.4854503332492541,1.9941454464243014,GENROU_5,8,GENROU_2,2
23,1,0.048,0.003,0.03,NEXT_STEP,0,0.03584632230645051,0.01728699146415169,1.0086703746081302,-0.17738824492716598,Fault_Interface,14,0.0,0.0,0.3,1.0086703746081302,-0.17738824492716598,,,,,,,,,,,,,,10.947320231857903,63.35299760041254,52.40567736855464,GENROU_4,6,GENROU_1,1,1.0,1.0,0.0,GENROU_1,1,GENROU_1,1,1.4854503397218954,1.9941454921558925,GENROU_5,8,GENROU_2,2
24,1,0.051000000000000004,0.003,0.03,NEXT_STEP,0,0.03584632230645051,0.01728699146415169,1.0086703737087646,-0.17738824579463072,Fault_Interface,14,0.0,0.0,0.3,1.0086703737087646,-0.17738824579463072,,,,,,,,,,,,,,10.947320231857903,63.35299760041254,52.40567736855464,GENROU_4,6,GENROU_1,1,1.0,1.0,0.0,GENROU_1,1,GENROU_1,1,1.4854503458166313,1.9941455388670521,GENROU_5,8,GENROU_2,2
25,1,0.054000000000000006,0.003,0.03,NEXT_STEP,0,0.03584632230645051,0.01728699146415169,1.0086703728496262,-0.17738824662777453,Fault_Interface,14,0.0,0.0,0.3,1.0086703728496262,-0.17738824662777453,,,,,,,,,,,,,,10.947320231857903,63.35299760041254,52.40567736855464,GENROU_4,6,GENROU_1,1,1.0,1.0,0.0,GENROU_1,1,GENROU_1,1,1.4854503515695887,1.9941455860276476,GENROU_5,8,GENROU_2,2
26,1,0.057,0.003,0.03,NEXT_STEP,0,0.03584632230645051,0.01728699146415169,1.0086703720292092,-0.17738824742793985,Fault_Interface,14,0.0,0.0,0.3,1.0086703720292092,-0.17738824742793985,,,,,,,,,,,,,,10.947320231857903,63.35299760041254,52.40567736855464,GENROU_4,6,GENROU_1,1,1.0,1.0,0.0,GENROU_1,1,GENROU_1,1,1.4854503569922572,1.9941456331719858,GENROU_5,8,GENROU_2,2
27,1,0.060000000000000005,0.003,0.03,NEXT_STEP,0,0.03584632230645051,0.01728699146415169,1.0086703712456764,-0.177388248196782,Fault_Interface,14,0.0,0.0,0.3,1.0086703712456764,-0.177388248196782,,,,,,,,,,,,,,10.947320231857903,63.35299760041254,52.40567736855464,GENROU_4,6,GENROU_1,1,1.0,1.0,0.0,GENROU_1,1,GENROU_1,1,1.4854503620973467,1.994145679901144,GENROU_5,8,GENROU_2,2
28,1,0.063,0.003,0.03,NEXT_STEP,0,0.03584632230645051,0.01728699146415169,1.0086703704985083,-0.17738824893619706,Fault_Interface,14,0.0,0.0,0.3,1.0086703704985083,-0.17738824893619706,,,,,,,,,,,,,,10.947320231857903,63.35299760041254,52.40567736855464,GENROU_4,6,GENROU_1,1,1.0,1.0,0.0,GENROU_1,1,GENROU_1,1,1.4854503669200378,1.994145725881589,GENROU_5,8,GENROU_2,2
29,1,0.066,0.003,0.03,NEXT_STEP,0,0.03584632230645051,0.01728699146415169,1.0086703697857995,-0.17738824964720945,Fault_Interface,14,0.0,0.0,0.3,1.0086703697857995,-0.17738824964720945,,,,,,,,,,,,,,10.947320231857903,63.35299760041254,52.40567736855464,GENROU_4,6,GENROU_1,1,1.0,1.0,0.0,GENROU_1,1,GENROU_1,1,1.4854503714740064,1.9941457708420318,GENROU_5,8,GENROU_2,2
30,1,0.069,0.003,0.03,NEXT_STEP,0,0.03584632230645051,0.01728699146415169,1.008670369106803,-0.17738825033113345,Fault_Interface,14,0.0,0.0,0.3,1.008670369106803,-0.17738825033113345,,,,,,,,,,,,,,10.947320231857903,63.35299760041254,52.40567736855464,GENROU_4,6,GENROU_1,1,1.0,1.0,0.0,GENROU_1,1,GENROU_1,1,1.4854503757763604,1.9941458145685953,GENROU_5,8,GENROU_2,2
31,1,0.07200000000000001,0.003,0.03,NEXT_STEP,0,0.03584632230645051,0.01728699146415169,1.008670368459921,-0.17738825098913655,Fault_Interface,14,0.0,0.0,0.3,1.008670368459921,-0.17738825098913655,,,,,,,,,,,,,,10.947320231857903,63.35299760041254,52.40567736855464,GENROU_4,6,GENROU_1,1,1.0,1.0,0.0,GENROU_1,1,GENROU_1,1,1.4854503798446976,1.9941458568992756,GENROU_5,8,GENROU_2,2
32,1,0.07500000000000001,0.003,0.03,NEXT_STEP,0,0.03584632230645051,0.01728699146415169,1.0086703678444924,-0.17738825162249275,Fault_Interface,14,0.0,0.0,0.3,1.0086703678444924,-0.17738825162249275,,,,,,,,,,,,,,10.947320231857903,63.35299760041254,52.40567736855464,GENROU_4,6,GENROU_1,1,1.0,1.0,0.0,GENROU_1,1,GENROU_1,1,1.4854503836890378,1.9941458977178546,GENROU_5,8,GENROU_2,2
33,1,0.078,0.003,0.03,NEXT_STEP,0,0.03584632230645051,0.01728699146415169,1.0086703672593826,-0.17738825223228627,Fault_Interface,14,0.0,0.0,0.3,1.0086703672593826,-0.17738825223228627,,,,,,,,,,,,,,10.947320231857903,63.35299760041254,52.40567736855464,GENROU_4,6,GENROU_1,1,1.0,1.0,0.0,GENROU_1,1,GENROU_1,1,1.4854503873366334,1.9941459369477577,GENROU_5,8,GENROU_2,2
