mode_index,real_part,imag_part,freq_hz,damping_ratio,stability
163,-2.369587822384e-14,0.0,0.0,1.0,zero
194,-0.31054376192626737,0.0,0.0,1.0,stable
201,-0.3378146406341587,0.0,0.0,1.0,stable
204,-0.3459121630997524,0.0,0.0,1.0,stable
203,-0.3493785096295895,0.0,0.0,1.0,stable
205,-0.36071283731429554,0.0,0.0,1.0,stable
206,-0.3677378489521825,0.0,0.0,1.0,stable
207,-0.37745068342675403,0.0,0.0,1.0,stable
208,-0.38081937816412387,0.0,0.0,1.0,stable
212,-0.39408218993162253,0.0,0.0,1.0,stable
213,-0.39547765617797837,0.0,0.0,1.0,stable
214,-0.39884250761319373,0.0,0.0,1.0,stable
218,-0.4012143330760842,0.0,0.0,1.0,stable
217,-0.40249253966426995,0.0,0.0,1.0,stable
216,-0.40466326314846246,0.0,0.0,1.0,stable
215,-0.4072187680563057,0.0,0.0,1.0,stable
211,-0.4112182966767902,0.0,0.0,1.0,stable
210,-0.41195672052862836,0.0,0.0,1.0,stable
209,-0.41537443098614174,0.0,0.0,1.0,stable
186,-0.6202859886469785,0.23410018166476762,0.03725820109065845,0.9355867726286784,stable
187,-0.6202859886469785,-0.23410018166476762,0.03725820109065845,0.9355867726286784,stable
192,-0.6772750609031108,0.29028635607832476,0.04620050848199944,0.9191324428919699,stable
193,-0.6772750609031108,-0.29028635607832476,0.04620050848199944,0.9191324428919699,stable
190,-0.6822951965052684,0.3031315005689782,0.04824487672241656,0.9138666230477899,stable
191,-0.6822951965052684,-0.3031315005689782,0.04824487672241656,0.9138666230477899,stable
197,-0.7104225871495289,0.2612531068857089,0.041579723358975855,0.9385493126724467,stable
198,-0.7104225871495289,-0.2612531068857089,0.041579723358975855,0.9385493126724467,stable
182,-0.7548253007561136,0.3861926018837536,0.0614644615753198,0.8902467698181433,stable
183,-0.7548253007561136,-0.3861926018837536,0.0614644615753198,0.8902467698181433,stable
195,-0.7975438663471021,0.31431780510289875,0.0500252323839213,0.9303551336416036,stable
196,-0.7975438663471021,-0.31431780510289875,0.0500252323839213,0.9303551336416036,stable
188,-0.8178410789972501,0.3572628764741768,0.056860152774094445,0.9163804478571101,stable
189,-0.8178410789972501,-0.3572628764741768,0.056860152774094445,0.9163804478571101,stable
184,-0.8483316251817781,0.35756495330741134,0.05690822979529726,0.9214905246120653,stable
185,-0.8483316251817781,-0.35756495330741134,0.05690822979529726,0.9214905246120653,stable
175,-0.9649879169336735,0.412742622751127,0.06569002863555524,0.9194289217455527,stable
176,-0.9649879169336735,-0.412742622751127,0.06569002863555524,0.9194289217455527,stable
177,-1.002893511942915,0.3937053680868294,0.06266015545283304,0.9308425998781299,stable
178,-1.002893511942915,-0.3937053680868294,0.06266015545283304,0.9308425998781299,stable
200,-1.0449109238557317,0.0,0.0,1.0,stable
199,-1.0636542512753473,0.0,0.0,1.0,stable
173,-1.068063068370852,0.3843008947695772,0.061163387037216514,0.9409440600742336,stable
174,-1.068063068370852,-0.3843008947695772,0.061163387037216514,0.9409440600742336,stable
202,-1.082895938737763,0.0,0.0,1.0,stable
171,-1.088776654984707,0.4039012968400429,0.06428288791331975,0.9375661398779539,stable
172,-1.088776654984707,-0.4039012968400429,0.06428288791331975,0.9375661398779539,stable
179,-1.1023937650175246,0.33586839373025856,0.0534551150905056,0.9565874896956215,stable
180,-1.1023937650175246,-0.33586839373025856,0.0534551150905056,0.9565874896956215,stable
181,-1.1581206872522538,0.0,0.0,1.0,stable
169,-1.1605063955197474,0.28707222551599376,0.04568896371526173,0.9707406783821027,stable
170,-1.1605063955197474,-0.28707222551599376,0.04568896371526173,0.9707406783821027,stable
167,-1.2597789484657027,0.1427530044779259,0.02271984630388138,0.9936409268138954,stable
168,-1.2597789484657027,-0.1427530044779259,0.02271984630388138,0.9936409268138954,stable
165,-1.264564146490029,0.21877769250648726,0.03481955120064616,0.985362180733939,stable
166,-1.264564146490029,-0.21877769250648726,0.03481955120064616,0.985362180733939,stable
164,-1.5421236057782224,0.0,0.0,1.0,stable
162,-1.8629515919764223,0.0,0.0,1.0,stable
161,-2.0151371517585037,0.0,0.0,1.0,stable
160,-2.3676491211809663,0.0,0.0,1.0,stable
157,-3.055831065519345,0.0,0.0,1.0,stable
156,-3.2776196971304907,0.0,0.0,1.0,stable
155,-3.432572708392744,0.0,0.0,1.0,stable
154,-3.582078047323212,0.0,0.0,1.0,stable
153,-3.7271540622365897,0.0,0.0,1.0,stable
147,-4.147437488631366,0.501399498572052,0.07980020866153979,0.9927714834326551,stable
148,-4.147437488631366,-0.501399498572052,0.07980020866153979,0.9927714834326551,stable
149,-4.380831088320313,0.0,0.0,1.0,stable
140,-4.66930744095729,1.2809982525045494,0.20387720397817893,0.9643668602494995,stable
141,-4.66930744095729,-1.2809982525045494,0.20387720397817893,0.9643668602494995,stable
150,-4.681254001710825,0.0,0.0,1.0,stable
146,-4.961763653710614,0.0,0.0,1.0,stable
145,-5.193933657079869,0.0,0.0,1.0,stable
144,-5.398618743187011,0.0,0.0,1.0,stable
143,-5.468485458177583,0.0,0.0,1.0,stable
142,-5.846757754848406,0.0,0.0,1.0,stable
132,-5.871407340183984,1.6153979604281374,0.257098570462704,0.9641734383519862,stable
133,-5.871407340183984,-1.6153979604281374,0.257098570462704,0.9641734383519862,stable
134,-6.15901833879302,1.200357016160264,0.1910427525969441,0.9815325852987175,stable
135,-6.15901833879302,-1.200357016160264,0.1910427525969441,0.9815325852987175,stable
138,-6.582157034459955,0.0,0.0,1.0,stable
50,-6.739599746457066,17.910021699510057,2.850468484360134,0.3521925974290839,stable
51,-6.739599746457066,-17.910021699510057,2.850468484360134,0.3521925974290839,stable
56,-6.760526048409603,17.155532340386767,2.730387773345426,0.36663183575479635,stable
57,-6.760526048409603,-17.155532340386767,2.730387773345426,0.36663183575479635,stable
52,-6.797491094526219,17.800680412889065,2.8330662781103753,0.3567413076303861,stable
53,-6.797491094526219,-17.800680412889065,2.8330662781103753,0.3567413076303861,stable
109,-6.883293352659823,12.098857708334254,1.9255930100468774,0.4944949707078247,stable
110,-6.883293352659823,-12.098857708334254,1.9255930100468774,0.4944949707078247,stable
46,-6.8914756645999535,18.20244636007028,2.897009314570263,0.35407472192125333,stable
47,-6.8914756645999535,-18.20244636007028,2.897009314570263,0.35407472192125333,stable
62,-6.913936330958308,17.014779962950595,2.707986336724523,0.3764556535504886,stable
63,-6.913936330958308,-17.014779962950595,2.707986336724523,0.3764556535504886,stable
54,-6.993094318800283,17.55196346629564,2.7934817466293085,0.37012686829582253,stable
55,-6.993094318800283,-17.55196346629564,2.7934817466293085,0.37012686829582253,stable
91,-7.100871055479676,16.2906522848853,2.592737837330775,0.3995767904508544,stable
92,-7.100871055479676,-16.2906522848853,2.592737837330775,0.3995767904508544,stable
137,-7.122121198757612,0.0,0.0,1.0,stable
48,-7.2419601383580705,18.01269802529435,2.8668099291472178,0.3730277780762821,stable
49,-7.2419601383580705,-18.01269802529435,2.8668099291472178,0.3730277780762821,stable
60,-7.301671868161047,17.2351058427833,2.7430522895909695,0.39008838302970866,stable
61,-7.301671868161047,-17.2351058427833,2.7430522895909695,0.39008838302970866,stable
58,-7.315174105691817,17.062911789796342,2.715646754887067,0.39403295437208186,stable
59,-7.315174105691817,-17.062911789796342,2.715646754887067,0.39403295437208186,stable
111,-7.533753982492344,14.766988195243206,2.350239165852623,0.45445006363266705,stable
112,-7.533753982492344,-14.766988195243206,2.350239165852623,0.45445006363266705,stable
